review,classification,prediction,match,classifier_decision,probabilities,source
We are staying at a hotel on King Street.,neutral,neutral,True,neutral,"[0.0002963810402434319, 0.9842537641525269, 0.015449813567101955]",dynasent_r1
"I'm currently being treated at Jackson Physical Therapy for an injury sustained during the Las Vegas Route 91 Shooting on October 1, 2017.",neutral,neutral,True,neutral,"[0.0033717567566782236, 0.9916828870773315, 0.004945387132465839]",dynasent_r1
It's a shame the former shop and owner were always someone and somewhere I could bring my pet.,negative,negative,True,negative,"[0.9607110619544983, 0.00946415588259697, 0.02982475608587265]",dynasent_r1
"Now, I could be wrong, but isn't it the insurance agents job to make you feel like you are being taken care of?",negative,neutral,False,neutral,"[0.47246038913726807, 0.5149606466293335, 0.012578973546624184]",dynasent_r1
"I had been to Brake Masters before, but never this location.",neutral,neutral,True,neutral,"[0.00024803265114314854, 0.9815062284469604, 0.01824570819735527]",dynasent_r1
"Parking was so easy, too easy in fact.",positive,positive,True,positive,"[0.001653227023780346, 0.0003501542378216982, 0.9979966282844543]",dynasent_r1
Shoved the lower tier members aside.,negative,negative,True,negative,"[0.9663448929786682, 0.02894364483654499, 0.004711511079221964]",dynasent_r2
We had the beet tartare to start.,neutral,neutral,True,neutral,"[0.00019929870904888958, 0.9797471761703491, 0.02005358785390854]",dynasent_r1
"Th food was also very cold, as it's ice cream.",neutral,neutral,True,neutral,"[0.03751717507839203, 0.7851691842079163, 0.1773136705160141]",dynasent_r2
"Yeah , these flicks are just that damn good .",positive,positive,True,positive,"[3.24184620694723e-05, 0.0001735391706461087, 0.999794065952301]",sst_local
#FlawlessLifeSTyle,neutral,neutral,True,neutral,"[0.014836223796010017, 0.6646161079406738, 0.3205476701259613]",dynasent_r1
"Not as distinctive or even as humorous as its needs to be to stand out , but it has clearly been made with affection and care .",neutral,neutral,True,neutral,"[0.05749272555112839, 0.7159894108772278, 0.22651784121990204]",sst_local
I booked a Go Deluxe room back in March for July 18 - 21.,neutral,neutral,True,neutral,"[0.00014358951011672616, 0.9794785380363464, 0.020377885550260544]",dynasent_r1
It would have benefitted the dialogue .,neutral,neutral,True,neutral,"[0.057843439280986786, 0.736091136932373, 0.206065371632576]",sst_local
"A gorgeous , somnolent show that is splendidly mummified and thoroughly unsurprising .",neutral,positive,False,positive,"[0.017491690814495087, 0.2728586792945862, 0.7096496224403381]",sst_local
Way better for sure!,positive,positive,True,positive,"[5.3844047215534374e-05, 0.0002861596003640443, 0.9996600151062012]",dynasent_r1
The staff here are definitely not afraid of arguing/lashing out at customers.,negative,negative,True,negative,"[0.9941038489341736, 0.0017425788100808859, 0.004153513349592686]",dynasent_r1
Other reviews mention that the service is bad or rude.,negative,negative,True,negative,"[0.980839729309082, 0.016686728224158287, 0.002473600674420595]",dynasent_r1
It 's a movie -- and an album -- you wo n't want to miss .,positive,positive,True,positive,"[0.0024082534946501255, 0.000686399289406836, 0.9969052672386169]",sst_local
"So this is my official first review on Yelp, I use yelp all the time but never really felt like writing a review until now!",neutral,neutral,True,neutral,"[0.00010441301856189966, 0.9735678434371948, 0.026327751576900482]",dynasent_r1
Personalization: Using the customer's name is very effective in producing loyalty.,neutral,positive,False,positive,"[0.000796103326138109, 0.050015173852443695, 0.9491887092590332]",dynasent_r1
Only two words will tell you what you know when deciding to see it : Anthony .,neutral,neutral,True,neutral,"[0.0017095755320042372, 0.5908028483390808, 0.4074876010417938]",sst_local
So we went back to Best Buy but here in Las Vegas and I was nervous Because it had been more than 30days.,neutral,neutral,True,neutral,"[0.3051649034023285, 0.6786332130432129, 0.016201892867684364]",dynasent_r1
A ponderous meditation on love that feels significantly longer than its relatively scant 97 minutes .,neutral,neutral,True,neutral,"[0.2018815279006958, 0.6162267327308655, 0.18189175426959991]",sst_local
Last time I went in was about a year ago and the layout was very big and open like they didn't have a lot of merchandise out on the floor.,negative,neutral,False,neutral,"[0.025856848806142807, 0.8861468434333801, 0.08799631893634796]",dynasent_r1
"Unfortunately , Heartbreak Hospital wants to convey the same kind of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wit .",negative,negative,True,negative,"[0.888485848903656, 0.10333982110023499, 0.008174397051334381]",sst_local
Anything is possible.,neutral,neutral,True,neutral,"[0.0014676976716145873, 0.8390005826950073, 0.15953177213668823]",dynasent_r1
... Hudlin is stuck trying to light a fire with soggy leaves .,negative,negative,True,negative,"[0.535418689250946, 0.451362669467926, 0.013218666426837444]",sst_local
The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,positive,positive,True,positive,"[0.00011420341616030782, 0.007248008158057928, 0.9926377534866333]",sst_local
"The thriller side of this movie is falling flat , as the stalker does n't do much stalking , and no cop or lawyer grasps the concept of actually investigating the case .",negative,negative,True,negative,"[0.9910131096839905, 0.008069975301623344, 0.000916899589356035]",sst_local
I reached out to Hillside via Yelp's message system.,neutral,neutral,True,neutral,"[0.0004402376071084291, 0.9901484251022339, 0.009411250241100788]",dynasent_r1
I made reservations for a bigger party (14 people) and had these reservations well over one month in advance.,neutral,neutral,True,neutral,"[0.0008941538399085402, 0.9789227247238159, 0.020183095708489418]",dynasent_r1
"I was in a hit and run around X-Mas, cops told me I could keep my car on the road til I got it to a repair shop, car was towed HOURS after my accident, I couldn't do much being on a bed recovering.",negative,neutral,False,neutral,"[0.0971863642334938, 0.8966228365898132, 0.006190787069499493]",dynasent_r1
Mr. Wedge and Mr. Saldanha handle the mix of verbal jokes and slapstick well .,positive,positive,True,positive,"[9.010952635435387e-05, 0.0020370574202388525, 0.9978727102279663]",sst_local
Place was fairly empty but the bartender Charles was friendly and attentive.,positive,positive,True,positive,"[4.224044823786244e-05, 7.433613063767552e-05, 0.9998834133148193]",dynasent_r1
Life is full of surprises and miracles.,neutral,positive,False,positive,"[0.00012240429350640625, 0.03750127553939819, 0.9623762965202332]",dynasent_r2
"Other lash studios put on lashes that were too heavy for my lashes, as well as glue that irritated my eyes.",negative,negative,True,negative,"[0.9900070428848267, 0.007417493965476751, 0.0025754279922693968]",dynasent_r1
We sat down and got two baskets of chips and salsa. tasty,positive,positive,True,positive,"[3.826346801361069e-05, 0.00026042864192277193, 0.9997013211250305]",dynasent_r2
Then on Sunday at 10am received a text saying delivered.,neutral,neutral,True,neutral,"[0.0007084380486048758, 0.9246076941490173, 0.07468385994434357]",dynasent_r1
A candid and often fascinating documentary about a Pentecostal church in Dallas that assembles an elaborate haunted house each year to scare teenagers into attending services .,positive,positive,True,positive,"[0.0004217716632410884, 0.08902811259031296, 0.910550057888031]",sst_local
"4 friends , 2 couples , 2000 miles , and all the Pabst Blue Ribbon beer they can drink - it 's the ultimate redneck road-trip .",positive,neutral,False,neutral,"[0.0005613003158941865, 0.6398881673812866, 0.3595505356788635]",sst_local
"Previous visits merited satisfied customers, including my friend's fiancee who is notoriously hard to please (he's not so much picky as a perfectionist with high expectations for quality food).",positive,positive,True,positive,"[0.0014007617719471455, 0.02143133245408535, 0.9771678447723389]",dynasent_r1
Or email info@Geaughahumain.org.,neutral,neutral,True,neutral,"[0.0008267902885563672, 0.9873077273368835, 0.01186549011617899]",dynasent_r1
Adam Sandler is to Gary Cooper what a gnat is to a racehorse .,negative,negative,True,negative,"[0.950760543346405, 0.04627496749162674, 0.0029645459726452827]",sst_local
Spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects .,neutral,positive,False,positive,"[0.007451949641108513, 0.06492208689451218, 0.9276259541511536]",sst_local
I keep mine outside.,neutral,neutral,True,neutral,"[0.000868841540068388, 0.9879921078681946, 0.011139078997075558]",dynasent_r1
"We ate dinner here, ordered a salad and chicken, the chicken came out slightly undercooked, we told Jonathan, our waiter, and he took it back.",negative,positive,False,positive,"[0.08407469093799591, 0.04156094789505005, 0.8743643760681152]",dynasent_r1
Calamari was chewy.,negative,negative,True,negative,"[0.9955213069915771, 0.0022813875693827868, 0.002197285881265998]",dynasent_r1
I'll start off by saying the atmosphere is not for everyone.,negative,negative,True,negative,"[0.9880691170692444, 0.010755326598882675, 0.0011755389859899879]",dynasent_r1
"No movement , no yuks , not much of anything .",negative,negative,True,negative,"[0.9922747015953064, 0.006665769498795271, 0.001059501664713025]",sst_local
"To be fair, the food here is delicious and my husband and I used to go all the time.",positive,positive,True,positive,"[0.00014561833813786507, 7.280857971636578e-05, 0.9997815489768982]",dynasent_r1
"That being said, if I had to complain I would about the price of the steak being different from the one in the menu ($19 to the menu's 16, both without tax).",negative,negative,True,negative,"[0.9964784979820251, 0.0015757408691570163, 0.0019458192400634289]",dynasent_r1
He then sits me down and gives me a jarring explanation on whats going to happen making my nerves rise and my anxiety kick in.,negative,negative,True,negative,"[0.9577599763870239, 0.03664439171552658, 0.0055957031436264515]",dynasent_r1
Tell them to send Steve.,neutral,neutral,True,neutral,"[0.0021093024406582117, 0.9586343765258789, 0.0392562597990036]",dynasent_r1
Let me just start this off by saying that first lol!,neutral,neutral,True,neutral,"[0.0008836351335048676, 0.8311112523078918, 0.1680050790309906]",dynasent_r1
"... a haunting vision , with images that seem more like disturbing hallucinations .",negative,positive,False,positive,"[0.011430819518864155, 0.2333773523569107, 0.7551917433738708]",sst_local
"... ambition is in short supply in the cinema , and Egoyan tackles his themes and explores his characters ' crises with seriousness and compassion .",positive,positive,True,positive,"[0.00026587388128973544, 0.008342646062374115, 0.9913914203643799]",sst_local
"I had the beef sausage with mustard, pineapple, onion, cilantro, and some kind of ""volcanic"" spicy sauce.",neutral,neutral,True,neutral,"[0.000391610199585557, 0.9875260591506958, 0.012082360684871674]",dynasent_r1
The whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit .,negative,negative,True,negative,"[0.9013358354568481, 0.08992376178503036, 0.008740413002669811]",sst_local
Original price: $550.,neutral,neutral,True,neutral,"[0.0020750740077346563, 0.9859195947647095, 0.01200531329959631]",dynasent_r1
I called a few places but didn't feel comfortable having them work on my grandmother's clock.,negative,neutral,False,neutral,"[0.335604727268219, 0.6539313793182373, 0.010463953949511051]",dynasent_r1
So what is the point ?,negative,neutral,False,neutral,"[0.006293046288192272, 0.9895330667495728, 0.004173873923718929]",sst_local
Cliches are as thick as the cigarette smoke .,negative,negative,True,negative,"[0.9811217784881592, 0.016476357355713844, 0.0024018718395382166]",sst_local
"Hence, that's why they do not take walk ins.",neutral,negative,False,negative,"[0.4969765841960907, 0.49212580919265747, 0.01089758612215519]",dynasent_r2
"The radiator was fine, it wasn't leaking at all.",positive,positive,True,positive,"[0.0008278169552795589, 0.008727144449949265, 0.9904450178146362]",dynasent_r1
I was up there for a doctor's appointment recently at Cleveland Clinic and wanted to stop by your casino.,neutral,neutral,True,neutral,"[0.00020927106379531324, 0.9727063775062561, 0.02708433009684086]",dynasent_r1
They were able to get my little ones in the following week!,positive,positive,True,positive,"[0.0004601672408170998, 0.15391415357589722, 0.845625638961792]",dynasent_r1
"The diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the appropriately brief 40-minute running time .",positive,positive,True,positive,"[0.00018036218534689397, 0.011923311278223991, 0.9878963232040405]",sst_local
Takes my order.,neutral,neutral,True,neutral,"[0.001227669999934733, 0.9646211862564087, 0.034151121973991394]",dynasent_r1
"For decent Mexican cuisine. Yeah, the daniels have nailed it. I work in the same square and have lunch from the daniels at least twice a week.",positive,positive,True,positive,"[3.77460710296873e-05, 6.680262595182285e-05, 0.999895453453064]",dynasent_r2
"We were, of course, able to purchase a bottle of water right after we got past the gate for $2.50.",neutral,positive,False,positive,"[0.004748139064759016, 0.22499659657478333, 0.7702553272247314]",dynasent_r1
The premise is overshadowed by the uberviolence of the Clericks as this becomes just another kung-fu sci-fi movie with silly action sequences .,negative,negative,True,negative,"[0.8893621563911438, 0.10464148968458176, 0.005996279884129763]",sst_local
"Each story on its own could have been expanded and worked into a compelling single feature , but in its current incarnation , Storytelling never quite gets over its rather lopsided conception .",neutral,negative,False,negative,"[0.6967629790306091, 0.28823256492614746, 0.015004520304501057]",sst_local
"Rather than charging us for the full hour they bit into, we were only charged for the additional 15 minutes.",positive,positive,True,positive,"[0.0020941365510225296, 0.009923332370817661, 0.9879825115203857]",dynasent_r1
"A lady working at the till gave us another, which we then proceeded to order from.",neutral,neutral,True,neutral,"[0.003045033197849989, 0.9700514078140259, 0.026903485879302025]",dynasent_r1
"I asked them not to cut my cuticles, and they went ahead and did so because they thought it would please me.",negative,negative,True,negative,"[0.5700554847717285, 0.15647956728935242, 0.27346494793891907]",dynasent_r2
"Rob is freaky fast to respond to any email. Like, slow doesn't exist in his head.",positive,positive,True,positive,"[0.0035856645554304123, 0.0007562609971500933, 0.9956580400466919]",dynasent_r2
"The luggage cart took someone's bags to the plane, however that plane was going to a different location.",negative,neutral,False,neutral,"[0.34244412183761597, 0.6488139629364014, 0.008741885423660278]",dynasent_r2
The cops were awesome and said they get called to Zipps (all locations) a lot over things like this.,positive,positive,True,positive,"[5.916661029914394e-05, 0.00022694229846820235, 0.9997139573097229]",dynasent_r1
There was this funky smell in it that he eliminated and the car looks better than it did when I got it.,positive,positive,True,positive,"[0.0003560956392902881, 9.468451025895774e-05, 0.9995492100715637]",dynasent_r1
So we get this plan laid out and start getting moulds like  a year in advance.,neutral,neutral,True,neutral,"[0.0006515682325698435, 0.9799774289131165, 0.0193710308521986]",dynasent_r1
"Nervy and sensitive , it taps into genuine artistic befuddlement , and at the same time presents a scathing indictment of what drives Hollywood .",positive,positive,True,positive,"[0.0023663435131311417, 0.1696658581495285, 0.8279678225517273]",sst_local
There is nothing fancy or pretentious about Mochanics but their service is second to none.,positive,positive,True,positive,"[6.884996400913224e-05, 0.00010838356683962047, 0.9998227953910828]",dynasent_r1
"Nair stuffs the film with dancing , henna , ornamentation , and group song , but her narrative clichés and telegraphed episodes smell of old soap opera .",negative,negative,True,negative,"[0.932225227355957, 0.0636654645204544, 0.004109331872314215]",sst_local
If u are a smoker this is paradise for u.,positive,positive,True,positive,"[0.1640826165676117, 0.08790241181850433, 0.7480149865150452]",dynasent_r1
It was worth to wait a while to have my tattoo coloring appointment.,positive,positive,True,positive,"[0.029664266854524612, 0.09240232408046722, 0.8779333829879761]",dynasent_r1
"Stars Matthew Perry and Elizabeth Hurley illicit more than a chuckle , and more jokes land than crash , but ultimately Serving Sara does n't distinguish itself from the herd .",negative,neutral,False,neutral,"[0.15376105904579163, 0.7283884882926941, 0.1178504079580307]",sst_local
Want an amazing foot massage???!!!!,positive,positive,True,positive,"[0.0015333235496655107, 0.14883624017238617, 0.8496303558349609]",dynasent_r1
Based on my recent experience...  GO ELSEWHERE!!!,negative,negative,True,negative,"[0.997231662273407, 0.0007171807228587568, 0.0020511928014457226]",dynasent_r1
During said call I was assured there would be no wait and they would get started right away and wouldn't take longer than 20mins.,neutral,neutral,True,neutral,"[0.0046946583315730095, 0.7038443088531494, 0.2914610207080841]",dynasent_r1
"The second time, the concierge was lacking in skill and so we paid the cover.",negative,negative,True,negative,"[0.9928737878799438, 0.00504513643682003, 0.0020811050198972225]",dynasent_r1
An involving true story of a Chinese actor who takes up drugs and winds up in an institution -- acted mostly by the actual people involved .,positive,positive,True,positive,"[0.0012831976637244225, 0.13142544031143188, 0.8672913908958435]",sst_local
"A gob of drivel so sickly sweet , even the eager consumers of Moore 's pasteurized ditties will retch it up like rancid crème brûlée .",negative,negative,True,negative,"[0.994279146194458, 0.00435881782323122, 0.0013620194513350725]",sst_local
The plot grinds on with yawn-provoking dullness .,negative,negative,True,negative,"[0.9851969480514526, 0.013424839824438095, 0.0013782379683107138]",sst_local
My husband picked it up along with the other items and I put it on about 2 weeks later.,neutral,neutral,True,neutral,"[0.00045641278848052025, 0.988494336605072, 0.011049284599721432]",dynasent_r1
Offers a breath of the fresh air of true sophistication .,positive,positive,True,positive,"[2.9959668609080836e-05, 0.000616971927229315, 0.9993531107902527]",sst_local
Must-see viewing for anyone involved in the high-tech industry .,positive,positive,True,positive,"[0.00011283143976470456, 0.0013020297046750784, 0.9985851049423218]",sst_local
It 's disappointing when filmmakers throw a few big-name actors and cameos at a hokey script .,negative,negative,True,negative,"[0.9543585181236267, 0.04354257881641388, 0.0020989570766687393]",sst_local
There 's not much going on in this movie unless you simply decide to buy into the notion that something inexplicably strange once happened in Point Pleasant .,neutral,negative,False,negative,"[0.8021658062934875, 0.1924932897090912, 0.0053408476524055]",sst_local
"But in its child-centered , claustrophobic context , it can be just as frightening and disturbing -- even punishing .",negative,neutral,False,neutral,"[0.32332366704940796, 0.5159091949462891, 0.16076712310314178]",sst_local
When I pulled into my driveway I immediately popped my hood and called them.,neutral,neutral,True,neutral,"[0.00844534020870924, 0.9728905558586121, 0.018664086237549782]",dynasent_r1
I was getting a huge deal so I agreed.,positive,positive,True,positive,"[0.004909728653728962, 0.20565661787986755, 0.7894337177276611]",dynasent_r1
2 barstools on either side with a few extra chairs laying around.,neutral,neutral,True,neutral,"[0.0003424759197514504, 0.9861435294151306, 0.013513998128473759]",dynasent_r1
impossible to spend time on patio in the afternoon do to the intense sun.,negative,negative,True,negative,"[0.998814582824707, 0.0005156808765605092, 0.0006697149947285652]",dynasent_r1
A quietly reflective and melancholy New Zealand film about an eventful summer in a 13-year-old girl 's life .,positive,positive,True,positive,"[0.0001389536337228492, 0.07338155061006546, 0.9264795184135437]",sst_local
IT WAS EMBARRASSING!,negative,negative,True,negative,"[0.9805727601051331, 0.016709541901946068, 0.0027177089359611273]",dynasent_r1
It is exactly the kind of patrons that an institution in decay would like to encourage.,negative,negative,True,negative,"[0.5385379791259766, 0.23301410675048828, 0.22844791412353516]",dynasent_r2
Woo 's fights have a distinct flair .,positive,positive,True,positive,"[9.479313303017989e-05, 0.024662496522068977, 0.9752427339553833]",sst_local
How could they not notice?,negative,negative,True,negative,"[0.5641377568244934, 0.41844382882118225, 0.0174183938652277]",dynasent_r1
They sent another installer and cut out the bad pieces and replaced them all AT NO ADDITIONAL COST.,positive,positive,True,positive,"[0.0010570507729426026, 0.00019114201131742448, 0.9987518787384033]",dynasent_r1
"Tacos... grose, chicken tacos.... Grose and super spicy, red wine sangria.....",negative,negative,True,neutral,"[0.00038070298614911735, 0.9820595383644104, 0.01755974255502224]",dynasent_r1
"The wait has never been more than 5 minutes, not even enough to finish the chapter of whatever book I was currently reading.",positive,positive,True,positive,"[0.0062517644837498665, 0.0033855896908789873, 0.9903625845909119]",dynasent_r1
something the true film buff will enjoy .,positive,positive,True,positive,"[3.357511377544142e-05, 0.000774810672737658, 0.9991915822029114]",sst_local
Three weeks before traveling to Vegas I followed up and received confirmation and sent one last confirmation email the week of the event.,neutral,neutral,True,neutral,"[0.003509021131321788, 0.9621061086654663, 0.03438485041260719]",dynasent_r1
we stayed at the trump now more than a month ago (may 22-24).,neutral,neutral,True,neutral,"[0.0002380166988587007, 0.9828739762306213, 0.016887998208403587]",dynasent_r1
I signaled to the waitress who came over and looked at it also.,neutral,neutral,True,neutral,"[0.0027786865830421448, 0.9866446852684021, 0.01057660486549139]",dynasent_r1
And the parking lot is huge.,positive,positive,True,positive,"[0.0003530898247845471, 0.010047975927591324, 0.9895989894866943]",dynasent_r1
I was ready to be a SHIELD recruit.,neutral,neutral,True,neutral,"[0.0006656570476479828, 0.9552286863327026, 0.04410567879676819]",dynasent_r1
TALK ABOUT GERNEROUSITY AND HOSPITALITY.,positive,positive,True,positive,"[0.005478160455822945, 0.02716497704386711, 0.9673568606376648]",dynasent_r1
Gets crowded during peek hours.,negative,negative,True,negative,"[0.9839848875999451, 0.014491005800664425, 0.0015241309301927686]",dynasent_r1
Visited Mercedes-Benz of Chandler this morning to test drive the CLA250.,neutral,neutral,True,neutral,"[0.00015679812349844724, 0.9644792079925537, 0.03536396473646164]",dynasent_r1
I gave him all of my information and let him know that I was driving two hours from out of town to meet with him so I wanted to make sure I had everything right before I left because I wanted to drive home with the car.,neutral,neutral,True,neutral,"[0.00021055193792562932, 0.9526347517967224, 0.0471547432243824]",dynasent_r1
I got a burger with fries for $3.99.,neutral,neutral,True,neutral,"[0.000255513732554391, 0.9766556620597839, 0.0230888519436121]",dynasent_r1
Will definitely return and maybe check out their other services (waxing & facials).,positive,positive,True,positive,"[5.6726170441834256e-05, 0.00024442022549919784, 0.9996988773345947]",dynasent_r1
Coffee is VERY GOOD.,positive,positive,True,positive,"[0.00012794288340955973, 0.00015270554285962135, 0.9997193217277527]",dynasent_r1
"A love for films shines through each frame and the era is recreated with obvious affection , scored to perfection with some tasty boogaloo beats .",positive,positive,True,positive,"[2.0714334823423997e-05, 0.0010377253638580441, 0.9989416003227234]",sst_local
"Full of profound , real-life moments that anyone can relate to , it deserves a wide audience .",positive,positive,True,positive,"[1.592479384271428e-05, 0.0008563683368265629, 0.9991276860237122]",sst_local
"Sandra Nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed Martha as her heart begins to open .",positive,positive,True,positive,"[5.9478428738657385e-05, 0.003055434674024582, 0.9968850016593933]",sst_local
"The room transitions were poorly managed, with a bored looking person in a SHIELD t-shirt letting the music play a few loops before pressing the button to open the doors, making for a really engaging and immersive time, imagining you're in training for an actual government contract job, waiting for the instructor who is running behind due to a pile of paperwork and red tape.",negative,negative,True,negative,"[0.9307178854942322, 0.03876706585288048, 0.030514968559145927]",dynasent_r1
A memorable night...miserably so.,negative,negative,True,negative,"[0.9937363862991333, 0.004562158603221178, 0.0017014425247907639]",dynasent_r1
They are more costly than store bought brands.,negative,negative,True,negative,"[0.9820445775985718, 0.013395105488598347, 0.004560333210974932]",dynasent_r1
Not a good place to watch a game outside - most of the TVs are inside.,negative,negative,True,negative,"[0.9982255101203918, 0.0006724477279931307, 0.001102070207707584]",dynasent_r1
"A somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .",positive,positive,True,positive,"[0.006222166121006012, 0.20168432593345642, 0.7920935153961182]",sst_local
"A movie that , rather than skip along the Seine , more or less slogs its way through soggy Paris , tongue uncomfortably in cheek .",negative,negative,True,negative,"[0.9523174166679382, 0.04497440159320831, 0.0027080930303782225]",sst_local
"At nearly three hours , the whole of Safe Conduct is less than the sum of its parts .",negative,negative,True,negative,"[0.8876895904541016, 0.1044510006904602, 0.007859469391405582]",sst_local
Where to begin!,neutral,neutral,True,neutral,"[0.004936294164508581, 0.9834910035133362, 0.011572661809623241]",dynasent_r1
Yelp has this place all wrong - I would give it more stars if I could!,positive,positive,True,positive,"[0.0006966115324757993, 0.00015406328020617366, 0.9991493225097656]",dynasent_r1
When I first went to her I could barely walk upright.,neutral,neutral,True,neutral,"[0.028662018477916718, 0.9566026926040649, 0.014735323376953602]",dynasent_r1
I began taking CBD oil on my own 4 months ago and I haven't had a single incident. It is good.,positive,positive,True,positive,"[8.648619404993951e-05, 0.00010311847290722653, 0.9998103976249695]",dynasent_r2
The chef can make an old piece of tough shoe leather taste like ribeye.,positive,positive,True,positive,"[0.030350781977176666, 0.007887535728514194, 0.9617617130279541]",dynasent_r2
"It's the one more expensive place in Madison that I've consistently thought ""this would survive in a bigger city.""",positive,positive,True,positive,"[0.12092383950948715, 0.42196929454803467, 0.4571068286895752]",dynasent_r1
"its the phone's fault, not theirs.",neutral,neutral,True,neutral,"[0.4761456251144409, 0.5003936290740967, 0.023460716009140015]",dynasent_r2
A film that takes you inside the rhythms of its subject : You experience it as you watch .,positive,positive,True,positive,"[8.798520866548643e-05, 0.004249680321663618, 0.9956623911857605]",sst_local
"The movie is well shot and very tragic , and one to ponder after the credits roll .",positive,positive,True,positive,"[6.699981895508245e-05, 0.004249501042068005, 0.9956835508346558]",sst_local
"The pizza comes late, ice cold.",negative,negative,True,negative,"[0.9984551668167114, 0.0005729004624299705, 0.0009719622321426868]",dynasent_r1
But this time there 's some mold on the gold .,negative,negative,True,negative,"[0.9838272333145142, 0.014026517979800701, 0.002146225655451417]",sst_local
"It would be interesting to hear from the other side , but in Talk to Her , the women are down for the count .",neutral,negative,False,negative,"[0.9137336015701294, 0.07904414087533951, 0.007222311571240425]",sst_local
Bucket of beer deal was good to bring into the place.,positive,positive,True,positive,"[0.0008598817512392998, 0.009008278138935566, 0.9901318550109863]",dynasent_r1
I'm glad to be able to fill in bioidentical prescriptions and I'm not going to use the ones that come from neglected animals.,neutral,neutral,True,neutral,"[0.10183098912239075, 0.7495033740997314, 0.1486656367778778]",dynasent_r2
Imagine if you will a Tony Hawk skating video interspliced with footage from Behind Enemy Lines and set to Jersey shore techno .,negative,neutral,False,negative,"[0.687708854675293, 0.2863840162754059, 0.025907130911946297]",sst_local
It isn't a huge patio area so I can see how it might be difficult to get a seat during dinner or perhaps lunch.,negative,negative,True,negative,"[0.9913614392280579, 0.007406498771160841, 0.0012320788810029626]",dynasent_r1
So I was slightly impressed.,positive,positive,True,positive,"[0.0008747014799155295, 0.001341563300229609, 0.9977837204933167]",dynasent_r1
Huge fan of Korean BBQ.,positive,positive,True,positive,"[0.00023524048447143286, 0.03154400736093521, 0.9682208299636841]",dynasent_r1
But an unwillingness to explore beyond the surfaces of her characters prevents Nettelbeck 's film from coming together .,negative,negative,True,negative,"[0.9313481450080872, 0.06524750590324402, 0.0034044154454022646]",sst_local
"If you 're not into the Pokemon franchise , this fourth animated movie in four years wo n't convert you -- or even keep your eyes open .",negative,negative,True,negative,"[0.9640489220619202, 0.03104231506586075, 0.004908696282655001]",sst_local
We traveled home and the pizza smelled delightful.,positive,positive,True,positive,"[0.00013417829177342355, 0.0004829976533073932, 0.9993828535079956]",dynasent_r1
