review,classification,prediction,match,classifier_decision,probabilities,source
"I'm currently being treated at Jackson Physical Therapy for an injury sustained during the Las Vegas Route 91 Shooting on October 1, 2017.",neutral,neutral,True,neutral,"[0.00013940487406216562, 0.9952542781829834, 0.004606298636645079]",dynasent_r1
It's a shame the former shop and owner were always someone and somewhere I could bring my pet.,negative,neutral,False,negative,"[0.706551194190979, 0.14118707180023193, 0.15226177871227264]",dynasent_r1
"Now, I could be wrong, but isn't it the insurance agents job to make you feel like you are being taken care of?",negative,negative,True,negative,"[0.657103955745697, 0.21526969969272614, 0.12762634456157684]",dynasent_r1
"I had been to Brake Masters before, but never this location.",neutral,neutral,True,neutral,"[8.467503357678652e-05, 0.9814236760139465, 0.018491648137569427]",dynasent_r1
"Parking was so easy, too easy in fact.",positive,positive,True,positive,"[1.76763060153462e-05, 9.821373532759026e-05, 0.9998841285705566]",dynasent_r1
Shoved the lower tier members aside.,negative,negative,True,negative,"[0.9766777753829956, 0.02186252921819687, 0.0014596647815778852]",dynasent_r2
We had the beet tartare to start.,neutral,neutral,True,neutral,"[1.0246479178022128e-05, 0.989253580570221, 0.010736212134361267]",dynasent_r1
"Th food was also very cold, as it's ice cream.",neutral,negative,False,negative,"[0.9614530801773071, 0.03557741269469261, 0.002969528315588832]",dynasent_r2
"Yeah , these flicks are just that damn good .",positive,positive,True,positive,"[5.325247798282362e-07, 6.217313057277352e-05, 0.9999372959136963]",sst_local
#FlawlessLifeSTyle,neutral,positive,False,positive,"[0.00029830142739228904, 0.07675812393426895, 0.922943651676178]",dynasent_r1
"Not as distinctive or even as humorous as its needs to be to stand out , but it has clearly been made with affection and care .",neutral,neutral,True,positive,"[5.443655027193017e-05, 0.009279162622988224, 0.9906663298606873]",sst_local
I booked a Go Deluxe room back in March for July 18 - 21.,neutral,neutral,True,neutral,"[0.0001461083156755194, 0.9846271872520447, 0.015226711519062519]",dynasent_r1
It would have benefitted the dialogue .,neutral,neutral,True,negative,"[0.40573355555534363, 0.29884350299835205, 0.2954229712486267]",sst_local
"A gorgeous , somnolent show that is splendidly mummified and thoroughly unsurprising .",neutral,positive,False,positive,"[0.006124157924205065, 0.05169091001152992, 0.9421848654747009]",sst_local
Way better for sure!,positive,positive,True,positive,"[3.2821790227899328e-06, 0.00011797357728937641, 0.9998786449432373]",dynasent_r1
The staff here are definitely not afraid of arguing/lashing out at customers.,negative,negative,True,negative,"[0.9000462293624878, 0.05204211547970772, 0.047911617904901505]",dynasent_r1
Other reviews mention that the service is bad or rude.,negative,negative,True,negative,"[0.7750108242034912, 0.212674081325531, 0.012315095402300358]",dynasent_r1
It 's a movie -- and an album -- you wo n't want to miss .,positive,positive,True,positive,"[1.4043026567378547e-05, 0.000423476129071787, 0.9995624423027039]",sst_local
"So this is my official first review on Yelp, I use yelp all the time but never really felt like writing a review until now!",neutral,neutral,True,neutral,"[1.916375731525477e-05, 0.9836930632591248, 0.016287734732031822]",dynasent_r1
Personalization: Using the customer's name is very effective in producing loyalty.,neutral,positive,False,positive,"[0.00073221605271101, 0.2756098806858063, 0.7236579060554504]",dynasent_r1
Only two words will tell you what you know when deciding to see it : Anthony .,neutral,neutral,True,neutral,"[0.006099477410316467, 0.5555965900421143, 0.43830397725105286]",sst_local
So we went back to Best Buy but here in Las Vegas and I was nervous Because it had been more than 30days.,neutral,neutral,True,neutral,"[0.37572452425956726, 0.5825343728065491, 0.04174114391207695]",dynasent_r1
A ponderous meditation on love that feels significantly longer than its relatively scant 97 minutes .,neutral,neutral,True,neutral,"[0.3286154866218567, 0.4305477440357208, 0.2408367097377777]",sst_local
Last time I went in was about a year ago and the layout was very big and open like they didn't have a lot of merchandise out on the floor.,negative,positive,False,positive,"[0.00015267395065166056, 0.008404362946748734, 0.9914429783821106]",dynasent_r1
"Unfortunately , Heartbreak Hospital wants to convey the same kind of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wit .",negative,negative,True,negative,"[0.8935781717300415, 0.08583392947912216, 0.020587878301739693]",sst_local
Anything is possible.,neutral,neutral,True,neutral,"[0.0022870972752571106, 0.7150585651397705, 0.28265437483787537]",dynasent_r1
... Hudlin is stuck trying to light a fire with soggy leaves .,negative,negative,True,negative,"[0.7431930899620056, 0.24943923950195312, 0.007367708720266819]",sst_local
The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,positive,positive,True,positive,"[6.682780622213613e-06, 0.0007626143633387983, 0.9992307424545288]",sst_local
"The thriller side of this movie is falling flat , as the stalker does n't do much stalking , and no cop or lawyer grasps the concept of actually investigating the case .",negative,negative,True,negative,"[0.9816172122955322, 0.017962774261832237, 0.00041996577056124806]",sst_local
I reached out to Hillside via Yelp's message system.,neutral,neutral,True,neutral,"[1.4530149201164022e-05, 0.99716717004776, 0.002818257547914982]",dynasent_r1
I made reservations for a bigger party (14 people) and had these reservations well over one month in advance.,neutral,neutral,True,neutral,"[0.0028167555574327707, 0.9924488067626953, 0.004734468646347523]",dynasent_r1
"I was in a hit and run around X-Mas, cops told me I could keep my car on the road til I got it to a repair shop, car was towed HOURS after my accident, I couldn't do much being on a bed recovering.",negative,negative,True,negative,"[0.8792937397956848, 0.11331029236316681, 0.007396032102406025]",dynasent_r1
Mr. Wedge and Mr. Saldanha handle the mix of verbal jokes and slapstick well .,positive,positive,True,positive,"[7.414580522890901e-06, 0.007436650805175304, 0.9925559163093567]",sst_local
Place was fairly empty but the bartender Charles was friendly and attentive.,positive,positive,True,positive,"[2.3523928405211336e-07, 1.1940905096707866e-05, 0.9999878406524658]",dynasent_r1
Life is full of surprises and miracles.,neutral,positive,False,positive,"[4.3139687477378175e-05, 0.01231198851019144, 0.9876449704170227]",dynasent_r2
"Other lash studios put on lashes that were too heavy for my lashes, as well as glue that irritated my eyes.",negative,neutral,False,negative,"[0.990143895149231, 0.0003675278276205063, 0.009488580748438835]",dynasent_r1
We sat down and got two baskets of chips and salsa. tasty,positive,positive,True,positive,"[2.9322247883101227e-06, 4.941199676977703e-06, 0.9999921321868896]",dynasent_r2
Then on Sunday at 10am received a text saying delivered.,neutral,neutral,True,neutral,"[0.00027595009305514395, 0.9958231449127197, 0.0039009437896311283]",dynasent_r1
A candid and often fascinating documentary about a Pentecostal church in Dallas that assembles an elaborate haunted house each year to scare teenagers into attending services .,positive,positive,True,positive,"[1.1273044719928293e-06, 0.004680581856518984, 0.9953182339668274]",sst_local
"4 friends , 2 couples , 2000 miles , and all the Pabst Blue Ribbon beer they can drink - it 's the ultimate redneck road-trip .",positive,positive,True,positive,"[0.0009411777136847377, 0.07740747928619385, 0.9216513633728027]",sst_local
"Previous visits merited satisfied customers, including my friend's fiancee who is notoriously hard to please (he's not so much picky as a perfectionist with high expectations for quality food).",positive,positive,True,positive,"[7.066206308081746e-05, 0.037987250834703445, 0.9619421362876892]",dynasent_r1
Or email info@Geaughahumain.org.,neutral,neutral,True,neutral,"[0.00032715010456740856, 0.9948422312736511, 0.004830584395676851]",dynasent_r1
Adam Sandler is to Gary Cooper what a gnat is to a racehorse .,negative,neutral,False,neutral,"[0.2459554523229599, 0.632924497127533, 0.12112004309892654]",sst_local
Spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects .,neutral,positive,False,positive,"[0.10722386091947556, 0.29092666506767273, 0.6018494367599487]",sst_local
I keep mine outside.,neutral,neutral,True,neutral,"[0.0017913340125232935, 0.9940991401672363, 0.004109557252377272]",dynasent_r1
"We ate dinner here, ordered a salad and chicken, the chicken came out slightly undercooked, we told Jonathan, our waiter, and he took it back.",negative,neutral,False,negative,"[0.9946139454841614, 0.004396336153149605, 0.000989647931419313]",dynasent_r1
Calamari was chewy.,negative,negative,True,negative,"[0.831523597240448, 0.16200196743011475, 0.006474429741501808]",dynasent_r1
I'll start off by saying the atmosphere is not for everyone.,negative,negative,True,negative,"[0.990738570690155, 0.008984965272247791, 0.0002765292301774025]",dynasent_r1
"No movement , no yuks , not much of anything .",negative,negative,True,negative,"[0.8066603541374207, 0.18236114084720612, 0.010978429578244686]",sst_local
"To be fair, the food here is delicious and my husband and I used to go all the time.",positive,positive,True,positive,"[2.7392454740038374e-06, 4.1557518670742866e-06, 0.999993085861206]",dynasent_r1
"That being said, if I had to complain I would about the price of the steak being different from the one in the menu ($19 to the menu's 16, both without tax).",negative,negative,True,negative,"[0.9595886468887329, 0.030432891100645065, 0.009978399612009525]",dynasent_r1
He then sits me down and gives me a jarring explanation on whats going to happen making my nerves rise and my anxiety kick in.,negative,negative,True,negative,"[0.969739556312561, 0.028727823868393898, 0.0015326821012422442]",dynasent_r1
Tell them to send Steve.,neutral,neutral,True,neutral,"[0.0018854641821235418, 0.9705312252044678, 0.027583297342061996]",dynasent_r1
Let me just start this off by saying that first lol!,neutral,neutral,True,neutral,"[5.4131767683429644e-05, 0.8887940645217896, 0.11115182191133499]",dynasent_r1
"... a haunting vision , with images that seem more like disturbing hallucinations .",negative,positive,False,positive,"[0.3331790566444397, 0.3263627588748932, 0.3404582440853119]",sst_local
"... ambition is in short supply in the cinema , and Egoyan tackles his themes and explores his characters ' crises with seriousness and compassion .",positive,positive,True,positive,"[0.0033356493804603815, 0.06582382321357727, 0.9308406114578247]",sst_local
"I had the beef sausage with mustard, pineapple, onion, cilantro, and some kind of ""volcanic"" spicy sauce.",neutral,neutral,True,neutral,"[2.3068558220984414e-05, 0.9918027520179749, 0.00817417073994875]",dynasent_r1
The whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit .,negative,neutral,False,neutral,"[0.2774268090724945, 0.6814805269241333, 0.04109269008040428]",sst_local
Original price: $550.,neutral,neutral,True,neutral,"[0.00039975051186047494, 0.9922509789466858, 0.007349200546741486]",dynasent_r1
I called a few places but didn't feel comfortable having them work on my grandmother's clock.,negative,neutral,False,neutral,"[0.3296230733394623, 0.46120622754096985, 0.20917068421840668]",dynasent_r1
So what is the point ?,negative,neutral,False,neutral,"[0.027292238548398018, 0.9709606766700745, 0.0017471315804868937]",sst_local
Cliches are as thick as the cigarette smoke .,negative,negative,True,negative,"[0.9681028127670288, 0.0302679892629385, 0.0016291645588353276]",sst_local
"Hence, that's why they do not take walk ins.",neutral,negative,False,negative,"[0.7300888299942017, 0.2637980878353119, 0.00611308915540576]",dynasent_r2
"The radiator was fine, it wasn't leaking at all.",positive,positive,True,positive,"[6.304636917775497e-05, 0.06176086142659187, 0.9381760358810425]",dynasent_r1
I was up there for a doctor's appointment recently at Cleveland Clinic and wanted to stop by your casino.,neutral,neutral,True,neutral,"[4.000415719929151e-05, 0.9840108752250671, 0.015949156135320663]",dynasent_r1
They were able to get my little ones in the following week!,positive,positive,True,positive,"[0.001562570221722126, 0.03950012847781181, 0.9589372873306274]",dynasent_r1
"The diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the appropriately brief 40-minute running time .",positive,positive,True,positive,"[3.3925332445505774e-06, 0.04059945419430733, 0.9593971371650696]",sst_local
Takes my order.,neutral,neutral,True,neutral,"[0.0007278744596987963, 0.9941652417182922, 0.005106971133500338]",dynasent_r1
"For decent Mexican cuisine. Yeah, the daniels have nailed it. I work in the same square and have lunch from the daniels at least twice a week.",positive,positive,True,positive,"[2.246874828415457e-06, 0.0007281749858520925, 0.9992695450782776]",dynasent_r2
"We were, of course, able to purchase a bottle of water right after we got past the gate for $2.50.",neutral,neutral,True,positive,"[0.008912645280361176, 0.021770766004920006, 0.9693166613578796]",dynasent_r1
The premise is overshadowed by the uberviolence of the Clericks as this becomes just another kung-fu sci-fi movie with silly action sequences .,negative,negative,True,negative,"[0.9016759395599365, 0.09559525549411774, 0.00272878585383296]",sst_local
"Each story on its own could have been expanded and worked into a compelling single feature , but in its current incarnation , Storytelling never quite gets over its rather lopsided conception .",neutral,negative,False,negative,"[0.9041532278060913, 0.09379943460226059, 0.0020473217591643333]",sst_local
"Rather than charging us for the full hour they bit into, we were only charged for the additional 15 minutes.",positive,positive,True,positive,"[0.013089397922158241, 0.005909601226449013, 0.981001079082489]",dynasent_r1
"A lady working at the till gave us another, which we then proceeded to order from.",neutral,neutral,True,neutral,"[0.0007757260464131832, 0.8848149180412292, 0.11440934985876083]",dynasent_r1
"I asked them not to cut my cuticles, and they went ahead and did so because they thought it would please me.",negative,negative,True,negative,"[0.4760500192642212, 0.053766779601573944, 0.47018319368362427]",dynasent_r2
"Rob is freaky fast to respond to any email. Like, slow doesn't exist in his head.",positive,positive,True,positive,"[0.32141512632369995, 0.02387055940926075, 0.6547142863273621]",dynasent_r2
"The luggage cart took someone's bags to the plane, however that plane was going to a different location.",negative,neutral,False,neutral,"[0.06254513561725616, 0.9345116019248962, 0.0029432924930006266]",dynasent_r2
The cops were awesome and said they get called to Zipps (all locations) a lot over things like this.,positive,positive,True,positive,"[0.0002690384571906179, 0.0004391672555357218, 0.9992917776107788]",dynasent_r1
There was this funky smell in it that he eliminated and the car looks better than it did when I got it.,positive,positive,True,positive,"[0.005021967925131321, 0.0008477881783619523, 0.9941301941871643]",dynasent_r1
So we get this plan laid out and start getting moulds like  a year in advance.,neutral,neutral,True,neutral,"[0.000895123288501054, 0.9931759238243103, 0.005929000210016966]",dynasent_r1
"Nervy and sensitive , it taps into genuine artistic befuddlement , and at the same time presents a scathing indictment of what drives Hollywood .",positive,positive,True,positive,"[6.969874903006712e-06, 0.061638686805963516, 0.9383543133735657]",sst_local
There is nothing fancy or pretentious about Mochanics but their service is second to none.,positive,positive,True,positive,"[3.599075353122316e-05, 0.00012059917935403064, 0.9998433589935303]",dynasent_r1
"Nair stuffs the film with dancing , henna , ornamentation , and group song , but her narrative clichés and telegraphed episodes smell of old soap opera .",negative,negative,True,negative,"[0.9295602440834045, 0.06798703223466873, 0.0024527099449187517]",sst_local
If u are a smoker this is paradise for u.,positive,positive,True,positive,"[0.016637971624732018, 0.005215222481638193, 0.9781467318534851]",dynasent_r1
It was worth to wait a while to have my tattoo coloring appointment.,positive,positive,True,positive,"[0.017406385391950607, 0.12195347994565964, 0.8606401681900024]",dynasent_r1
"Stars Matthew Perry and Elizabeth Hurley illicit more than a chuckle , and more jokes land than crash , but ultimately Serving Sara does n't distinguish itself from the herd .",negative,neutral,False,negative,"[0.5654831528663635, 0.32948264479637146, 0.10503420233726501]",sst_local
Want an amazing foot massage???!!!!,positive,positive,True,neutral,"[0.0005748000694438815, 0.886570930480957, 0.11285433918237686]",dynasent_r1
Based on my recent experience...  GO ELSEWHERE!!!,negative,negative,True,negative,"[0.9996141195297241, 0.0002129014756064862, 0.00017295830184593797]",dynasent_r1
During said call I was assured there would be no wait and they would get started right away and wouldn't take longer than 20mins.,neutral,positive,False,positive,"[1.1909090972039849e-05, 0.05597440153360367, 0.9440136551856995]",dynasent_r1
"The second time, the concierge was lacking in skill and so we paid the cover.",negative,negative,True,negative,"[0.9981153011322021, 0.00018991487741004676, 0.0016947694821283221]",dynasent_r1
An involving true story of a Chinese actor who takes up drugs and winds up in an institution -- acted mostly by the actual people involved .,positive,positive,True,positive,"[3.855619070236571e-06, 0.011531839147210121, 0.9884642958641052]",sst_local
"A gob of drivel so sickly sweet , even the eager consumers of Moore 's pasteurized ditties will retch it up like rancid crème brûlée .",negative,negative,True,negative,"[0.9979348182678223, 0.0014561110874637961, 0.0006091268151067197]",sst_local
The plot grinds on with yawn-provoking dullness .,negative,negative,True,negative,"[0.980381429195404, 0.01907636597752571, 0.0005422765389084816]",sst_local
My husband picked it up along with the other items and I put it on about 2 weeks later.,neutral,neutral,True,neutral,"[0.0001726034824969247, 0.9862197637557983, 0.013607568107545376]",dynasent_r1
Offers a breath of the fresh air of true sophistication .,positive,positive,True,positive,"[4.3829536480188835e-06, 8.348795381607488e-05, 0.9999121427536011]",sst_local
Must-see viewing for anyone involved in the high-tech industry .,positive,positive,True,positive,"[0.0013285297900438309, 0.0007154673803597689, 0.9979560375213623]",sst_local
It 's disappointing when filmmakers throw a few big-name actors and cameos at a hokey script .,negative,negative,True,negative,"[0.9613466262817383, 0.0377226360142231, 0.0009306900319643319]",sst_local
There 's not much going on in this movie unless you simply decide to buy into the notion that something inexplicably strange once happened in Point Pleasant .,neutral,negative,False,negative,"[0.8244292736053467, 0.1699826866388321, 0.0055880737490952015]",sst_local
"But in its child-centered , claustrophobic context , it can be just as frightening and disturbing -- even punishing .",negative,neutral,False,neutral,"[0.036816246807575226, 0.674568772315979, 0.28861498832702637]",sst_local
When I pulled into my driveway I immediately popped my hood and called them.,neutral,neutral,True,neutral,"[0.0032378381583839655, 0.9669801592826843, 0.029782043769955635]",dynasent_r1
I was getting a huge deal so I agreed.,positive,neutral,False,neutral,"[9.595741721568629e-05, 0.6727885603904724, 0.327115535736084]",dynasent_r1
2 barstools on either side with a few extra chairs laying around.,neutral,neutral,True,neutral,"[0.00044597373926080763, 0.9780277013778687, 0.021526342257857323]",dynasent_r1
impossible to spend time on patio in the afternoon do to the intense sun.,negative,negative,True,negative,"[0.9962687492370605, 0.003462259890511632, 0.000269029987975955]",dynasent_r1
A quietly reflective and melancholy New Zealand film about an eventful summer in a 13-year-old girl 's life .,positive,positive,True,positive,"[5.371847237256588e-06, 0.04545340687036514, 0.9545412659645081]",sst_local
IT WAS EMBARRASSING!,negative,negative,True,negative,"[0.9929686188697815, 0.00680602015927434, 0.00022533582523465157]",dynasent_r1
It is exactly the kind of patrons that an institution in decay would like to encourage.,negative,negative,True,negative,"[0.5096421837806702, 0.2930997908115387, 0.19725807011127472]",dynasent_r2
Woo 's fights have a distinct flair .,positive,positive,True,positive,"[5.207211506785825e-05, 0.05802855268120766, 0.9419193267822266]",sst_local
How could they not notice?,negative,negative,True,negative,"[0.42001235485076904, 0.3445543944835663, 0.23543323576450348]",dynasent_r1
They sent another installer and cut out the bad pieces and replaced them all AT NO ADDITIONAL COST.,positive,positive,True,positive,"[0.0001962243259185925, 0.00667614908888936, 0.993127703666687]",dynasent_r1
"Tacos... grose, chicken tacos.... Grose and super spicy, red wine sangria.....",negative,neutral,False,neutral,"[2.4351125830435194e-05, 0.9787577986717224, 0.021217891946434975]",dynasent_r1
"The wait has never been more than 5 minutes, not even enough to finish the chapter of whatever book I was currently reading.",positive,positive,True,positive,"[0.07981865853071213, 0.03018932230770588, 0.8899919986724854]",dynasent_r1
something the true film buff will enjoy .,positive,positive,True,positive,"[2.921877421613317e-05, 0.0013151547173038125, 0.9986556768417358]",sst_local
Three weeks before traveling to Vegas I followed up and received confirmation and sent one last confirmation email the week of the event.,neutral,neutral,True,neutral,"[0.000691339373588562, 0.9809908866882324, 0.0183178149163723]",dynasent_r1
we stayed at the trump now more than a month ago (may 22-24).,neutral,neutral,True,neutral,"[0.0004101344384253025, 0.988952100276947, 0.01063777320086956]",dynasent_r1
I signaled to the waitress who came over and looked at it also.,neutral,neutral,True,neutral,"[0.0011435155756771564, 0.9885224103927612, 0.010334028862416744]",dynasent_r1
And the parking lot is huge.,positive,positive,True,positive,"[4.816836735699326e-06, 0.005052333697676659, 0.994942843914032]",dynasent_r1
I was ready to be a SHIELD recruit.,neutral,neutral,True,neutral,"[0.00025991786969825625, 0.9654151201248169, 0.03432498499751091]",dynasent_r1
TALK ABOUT GERNEROUSITY AND HOSPITALITY.,positive,neutral,False,neutral,"[0.0371997095644474, 0.697713315486908, 0.26508694887161255]",dynasent_r1
Gets crowded during peek hours.,negative,negative,True,negative,"[0.9555864334106445, 0.04347969964146614, 0.0009338762611150742]",dynasent_r1
Visited Mercedes-Benz of Chandler this morning to test drive the CLA250.,neutral,neutral,True,neutral,"[9.217128535965458e-05, 0.9868263006210327, 0.013081544078886509]",dynasent_r1
I gave him all of my information and let him know that I was driving two hours from out of town to meet with him so I wanted to make sure I had everything right before I left because I wanted to drive home with the car.,neutral,neutral,True,neutral,"[0.00013379541633185, 0.9962347149848938, 0.0036315196193754673]",dynasent_r1
I got a burger with fries for $3.99.,neutral,neutral,True,neutral,"[0.00012705664266832173, 0.988959789276123, 0.010913211852312088]",dynasent_r1
Will definitely return and maybe check out their other services (waxing & facials).,positive,positive,True,positive,"[3.4031609175144695e-07, 0.002864496549591422, 0.9971351623535156]",dynasent_r1
Coffee is VERY GOOD.,positive,positive,True,positive,"[9.408133792021545e-07, 9.381717063661199e-06, 0.9999896287918091]",dynasent_r1
"A love for films shines through each frame and the era is recreated with obvious affection , scored to perfection with some tasty boogaloo beats .",positive,positive,True,positive,"[2.2148908840335935e-07, 0.0006798485410399735, 0.9993199110031128]",sst_local
"Full of profound , real-life moments that anyone can relate to , it deserves a wide audience .",positive,positive,True,positive,"[2.2799245016358327e-06, 0.0018222585786134005, 0.9981755018234253]",sst_local
"Sandra Nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed Martha as her heart begins to open .",positive,positive,True,positive,"[6.305765055003576e-06, 0.009815269149839878, 0.9901784658432007]",sst_local
"The room transitions were poorly managed, with a bored looking person in a SHIELD t-shirt letting the music play a few loops before pressing the button to open the doors, making for a really engaging and immersive time, imagining you're in training for an actual government contract job, waiting for the instructor who is running behind due to a pile of paperwork and red tape.",negative,negative,True,negative,"[0.9942551255226135, 0.004500871989876032, 0.0012440758291631937]",dynasent_r1
A memorable night...miserably so.,negative,negative,True,negative,"[0.9674596786499023, 0.02971203252673149, 0.0028281889390200377]",dynasent_r1
They are more costly than store bought brands.,negative,negative,True,negative,"[0.4202444553375244, 0.32086095213890076, 0.25889459252357483]",dynasent_r1
Not a good place to watch a game outside - most of the TVs are inside.,negative,negative,True,negative,"[0.9983685612678528, 0.0014158342964947224, 0.00021560213644988835]",dynasent_r1
"A somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .",positive,positive,True,positive,"[0.0011016285279765725, 0.35619956254959106, 0.6426987051963806]",sst_local
"A movie that , rather than skip along the Seine , more or less slogs its way through soggy Paris , tongue uncomfortably in cheek .",negative,negative,True,negative,"[0.7863091826438904, 0.20656035840511322, 0.007130419369786978]",sst_local
"At nearly three hours , the whole of Safe Conduct is less than the sum of its parts .",negative,negative,True,negative,"[0.8399997353553772, 0.14753682911396027, 0.01246336568146944]",sst_local
Where to begin!,neutral,neutral,True,neutral,"[0.0005068143946118653, 0.9927204847335815, 0.006772738415747881]",dynasent_r1
Yelp has this place all wrong - I would give it more stars if I could!,positive,positive,True,positive,"[0.03400396555662155, 0.0008995049865916371, 0.9650965929031372]",dynasent_r1
When I first went to her I could barely walk upright.,neutral,positive,False,neutral,"[0.3514058589935303, 0.4563046395778656, 0.19228942692279816]",dynasent_r1
I began taking CBD oil on my own 4 months ago and I haven't had a single incident. It is good.,positive,positive,True,positive,"[5.414605084297364e-07, 4.748986157210311e-06, 0.9999946355819702]",dynasent_r2
The chef can make an old piece of tough shoe leather taste like ribeye.,positive,positive,True,positive,"[0.3607615530490875, 0.054890915751457214, 0.5843475461006165]",dynasent_r2
"It's the one more expensive place in Madison that I've consistently thought ""this would survive in a bigger city.""",positive,neutral,False,negative,"[0.3980807662010193, 0.284557044506073, 0.3173622190952301]",dynasent_r1
"its the phone's fault, not theirs.",neutral,neutral,True,neutral,"[0.09494274854660034, 0.9002503156661987, 0.004806981422007084]",dynasent_r2
A film that takes you inside the rhythms of its subject : You experience it as you watch .,positive,positive,True,positive,"[9.960987517843023e-05, 0.013568297028541565, 0.9863321781158447]",sst_local
"The movie is well shot and very tragic , and one to ponder after the credits roll .",positive,positive,True,positive,"[9.755275823408738e-05, 0.00848507322371006, 0.9914174675941467]",sst_local
"The pizza comes late, ice cold.",negative,negative,True,negative,"[0.975297749042511, 0.021785486489534378, 0.0029167395550757647]",dynasent_r1
But this time there 's some mold on the gold .,negative,negative,True,negative,"[0.9792618751525879, 0.020039914175868034, 0.0006981560145504773]",sst_local
"It would be interesting to hear from the other side , but in Talk to Her , the women are down for the count .",neutral,neutral,True,neutral,"[0.2338874340057373, 0.4595979154109955, 0.3065146803855896]",sst_local
Bucket of beer deal was good to bring into the place.,positive,positive,True,positive,"[0.003900491166859865, 0.005318359471857548, 0.9907811284065247]",dynasent_r1
I'm glad to be able to fill in bioidentical prescriptions and I'm not going to use the ones that come from neglected animals.,neutral,negative,False,negative,"[0.46507135033607483, 0.08126047998666763, 0.45366817712783813]",dynasent_r2
Imagine if you will a Tony Hawk skating video interspliced with footage from Behind Enemy Lines and set to Jersey shore techno .,negative,neutral,False,neutral,"[0.007193360477685928, 0.9868122935295105, 0.005994384177029133]",sst_local
It isn't a huge patio area so I can see how it might be difficult to get a seat during dinner or perhaps lunch.,negative,negative,True,negative,"[0.989326000213623, 0.010129585862159729, 0.0005444531561806798]",dynasent_r1
So I was slightly impressed.,positive,positive,True,positive,"[0.0003496886929497123, 0.0008680694736540318, 0.998782217502594]",dynasent_r1
Huge fan of Korean BBQ.,positive,positive,True,positive,"[8.087228707154281e-06, 0.003186413086950779, 0.9968055486679077]",dynasent_r1
But an unwillingness to explore beyond the surfaces of her characters prevents Nettelbeck 's film from coming together .,negative,negative,True,negative,"[0.8378527164459229, 0.15853251516819, 0.0036147749051451683]",sst_local
"If you 're not into the Pokemon franchise , this fourth animated movie in four years wo n't convert you -- or even keep your eyes open .",negative,negative,True,negative,"[0.9197021722793579, 0.0760355144739151, 0.004262310452759266]",sst_local
