review,classification,prediction,match,source
"No movement , no yuks , not much of anything .",negative,negative,True,sst_local
"To be fair, the food here is delicious and my husband and I used to go all the time.",positive,positive,True,dynasent_r1
"That being said, if I had to complain I would about the price of the steak being different from the one in the menu ($19 to the menu's 16, both without tax).",negative,negative,True,dynasent_r1
He then sits me down and gives me a jarring explanation on whats going to happen making my nerves rise and my anxiety kick in.,negative,negative,True,dynasent_r1
Tell them to send Steve.,neutral,neutral,True,dynasent_r1
Let me just start this off by saying that first lol!,neutral,neutral,True,dynasent_r1
"... a haunting vision , with images that seem more like disturbing hallucinations .",negative,positive,False,sst_local
"... ambition is in short supply in the cinema , and Egoyan tackles his themes and explores his characters ' crises with seriousness and compassion .",positive,positive,True,sst_local
"I had the beef sausage with mustard, pineapple, onion, cilantro, and some kind of ""volcanic"" spicy sauce.",neutral,neutral,True,dynasent_r1
The whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit .,negative,negative,True,sst_local
Original price: $550.,neutral,neutral,True,dynasent_r1
I called a few places but didn't feel comfortable having them work on my grandmother's clock.,negative,neutral,False,dynasent_r1
So what is the point ?,negative,neutral,False,sst_local
Cliches are as thick as the cigarette smoke .,negative,negative,True,sst_local
"Hence, that's why they do not take walk ins.",neutral,neutral,True,dynasent_r2
"The radiator was fine, it wasn't leaking at all.",positive,positive,True,dynasent_r1
I was up there for a doctor's appointment recently at Cleveland Clinic and wanted to stop by your casino.,neutral,neutral,True,dynasent_r1
They were able to get my little ones in the following week!,positive,positive,True,dynasent_r1
"The diversity of the artists represented , both in terms of style and ethnicity , prevents the proceedings from feeling repetitious , as does the appropriately brief 40-minute running time .",positive,positive,True,sst_local
Takes my order.,neutral,neutral,True,dynasent_r1
"For decent Mexican cuisine. Yeah, the daniels have nailed it. I work in the same square and have lunch from the daniels at least twice a week.",positive,positive,True,dynasent_r2
"We were, of course, able to purchase a bottle of water right after we got past the gate for $2.50.",neutral,positive,False,dynasent_r1
The premise is overshadowed by the uberviolence of the Clericks as this becomes just another kung-fu sci-fi movie with silly action sequences .,negative,negative,True,sst_local
"Each story on its own could have been expanded and worked into a compelling single feature , but in its current incarnation , Storytelling never quite gets over its rather lopsided conception .",neutral,negative,False,sst_local
"Rather than charging us for the full hour they bit into, we were only charged for the additional 15 minutes.",positive,positive,True,dynasent_r1
"A lady working at the till gave us another, which we then proceeded to order from.",neutral,neutral,True,dynasent_r1
"I asked them not to cut my cuticles, and they went ahead and did so because they thought it would please me.",negative,negative,True,dynasent_r2
"Rob is freaky fast to respond to any email. Like, slow doesn't exist in his head.",positive,positive,True,dynasent_r2
"The luggage cart took someone's bags to the plane, however that plane was going to a different location.",negative,neutral,False,dynasent_r2
The cops were awesome and said they get called to Zipps (all locations) a lot over things like this.,positive,positive,True,dynasent_r1
There was this funky smell in it that he eliminated and the car looks better than it did when I got it.,positive,positive,True,dynasent_r1
So we get this plan laid out and start getting moulds like  a year in advance.,neutral,neutral,True,dynasent_r1
"Nervy and sensitive , it taps into genuine artistic befuddlement , and at the same time presents a scathing indictment of what drives Hollywood .",positive,positive,True,sst_local
There is nothing fancy or pretentious about Mochanics but their service is second to none.,positive,positive,True,dynasent_r1
"Nair stuffs the film with dancing , henna , ornamentation , and group song , but her narrative clichés and telegraphed episodes smell of old soap opera .",negative,negative,True,sst_local
If u are a smoker this is paradise for u.,positive,positive,True,dynasent_r1
It was worth to wait a while to have my tattoo coloring appointment.,positive,positive,True,dynasent_r1
"Stars Matthew Perry and Elizabeth Hurley illicit more than a chuckle , and more jokes land than crash , but ultimately Serving Sara does n't distinguish itself from the herd .",negative,neutral,False,sst_local
Want an amazing foot massage???!!!!,positive,positive,True,dynasent_r1
Based on my recent experience...  GO ELSEWHERE!!!,negative,negative,True,dynasent_r1
During said call I was assured there would be no wait and they would get started right away and wouldn't take longer than 20mins.,neutral,neutral,True,dynasent_r1
"The second time, the concierge was lacking in skill and so we paid the cover.",negative,negative,True,dynasent_r1
An involving true story of a Chinese actor who takes up drugs and winds up in an institution -- acted mostly by the actual people involved .,positive,positive,True,sst_local
"A gob of drivel so sickly sweet , even the eager consumers of Moore 's pasteurized ditties will retch it up like rancid crème brûlée .",negative,negative,True,sst_local
The plot grinds on with yawn-provoking dullness .,negative,negative,True,sst_local
My husband picked it up along with the other items and I put it on about 2 weeks later.,neutral,neutral,True,dynasent_r1
Offers a breath of the fresh air of true sophistication .,positive,positive,True,sst_local
Must-see viewing for anyone involved in the high-tech industry .,positive,positive,True,sst_local
It 's disappointing when filmmakers throw a few big-name actors and cameos at a hokey script .,negative,negative,True,sst_local
There 's not much going on in this movie unless you simply decide to buy into the notion that something inexplicably strange once happened in Point Pleasant .,neutral,negative,False,sst_local
"But in its child-centered , claustrophobic context , it can be just as frightening and disturbing -- even punishing .",negative,neutral,False,sst_local
When I pulled into my driveway I immediately popped my hood and called them.,neutral,neutral,True,dynasent_r1
I was getting a huge deal so I agreed.,positive,positive,True,dynasent_r1
2 barstools on either side with a few extra chairs laying around.,neutral,neutral,True,dynasent_r1
impossible to spend time on patio in the afternoon do to the intense sun.,negative,negative,True,dynasent_r1
A quietly reflective and melancholy New Zealand film about an eventful summer in a 13-year-old girl 's life .,positive,positive,True,sst_local
IT WAS EMBARRASSING!,negative,negative,True,dynasent_r1
It is exactly the kind of patrons that an institution in decay would like to encourage.,negative,negative,True,dynasent_r2
Woo 's fights have a distinct flair .,positive,positive,True,sst_local
How could they not notice?,negative,negative,True,dynasent_r1
They sent another installer and cut out the bad pieces and replaced them all AT NO ADDITIONAL COST.,positive,positive,True,dynasent_r1
"Tacos... grose, chicken tacos.... Grose and super spicy, red wine sangria.....",negative,negative,True,dynasent_r1
"The wait has never been more than 5 minutes, not even enough to finish the chapter of whatever book I was currently reading.",positive,positive,True,dynasent_r1
something the true film buff will enjoy .,positive,positive,True,sst_local
Three weeks before traveling to Vegas I followed up and received confirmation and sent one last confirmation email the week of the event.,neutral,neutral,True,dynasent_r1
we stayed at the trump now more than a month ago (may 22-24).,neutral,neutral,True,dynasent_r1
I signaled to the waitress who came over and looked at it also.,neutral,neutral,True,dynasent_r1
And the parking lot is huge.,positive,positive,True,dynasent_r1
I was ready to be a SHIELD recruit.,neutral,neutral,True,dynasent_r1
TALK ABOUT GERNEROUSITY AND HOSPITALITY.,positive,positive,True,dynasent_r1
Gets crowded during peek hours.,negative,negative,True,dynasent_r1
Visited Mercedes-Benz of Chandler this morning to test drive the CLA250.,neutral,neutral,True,dynasent_r1
I gave him all of my information and let him know that I was driving two hours from out of town to meet with him so I wanted to make sure I had everything right before I left because I wanted to drive home with the car.,neutral,neutral,True,dynasent_r1
I got a burger with fries for $3.99.,neutral,neutral,True,dynasent_r1
Will definitely return and maybe check out their other services (waxing & facials).,positive,positive,True,dynasent_r1
Coffee is VERY GOOD.,positive,positive,True,dynasent_r1
"A love for films shines through each frame and the era is recreated with obvious affection , scored to perfection with some tasty boogaloo beats .",positive,positive,True,sst_local
"Full of profound , real-life moments that anyone can relate to , it deserves a wide audience .",positive,positive,True,sst_local
"Sandra Nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed Martha as her heart begins to open .",positive,positive,True,sst_local
"The room transitions were poorly managed, with a bored looking person in a SHIELD t-shirt letting the music play a few loops before pressing the button to open the doors, making for a really engaging and immersive time, imagining you're in training for an actual government contract job, waiting for the instructor who is running behind due to a pile of paperwork and red tape.",negative,negative,True,dynasent_r1
A memorable night...miserably so.,negative,negative,True,dynasent_r1
They are more costly than store bought brands.,negative,negative,True,dynasent_r1
Not a good place to watch a game outside - most of the TVs are inside.,negative,negative,True,dynasent_r1
"A somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .",positive,positive,True,sst_local
"A movie that , rather than skip along the Seine , more or less slogs its way through soggy Paris , tongue uncomfortably in cheek .",negative,negative,True,sst_local
"At nearly three hours , the whole of Safe Conduct is less than the sum of its parts .",negative,negative,True,sst_local
Where to begin!,neutral,neutral,True,dynasent_r1
Yelp has this place all wrong - I would give it more stars if I could!,positive,positive,True,dynasent_r1
When I first went to her I could barely walk upright.,neutral,neutral,True,dynasent_r1
I began taking CBD oil on my own 4 months ago and I haven't had a single incident. It is good.,positive,positive,True,dynasent_r2
The chef can make an old piece of tough shoe leather taste like ribeye.,positive,positive,True,dynasent_r2
"It's the one more expensive place in Madison that I've consistently thought ""this would survive in a bigger city.""",positive,positive,True,dynasent_r1
"its the phone's fault, not theirs.",neutral,neutral,True,dynasent_r2
A film that takes you inside the rhythms of its subject : You experience it as you watch .,positive,positive,True,sst_local
"The movie is well shot and very tragic , and one to ponder after the credits roll .",positive,positive,True,sst_local
"The pizza comes late, ice cold.",negative,negative,True,dynasent_r1
But this time there 's some mold on the gold .,negative,negative,True,sst_local
"It would be interesting to hear from the other side , but in Talk to Her , the women are down for the count .",neutral,negative,False,sst_local
Bucket of beer deal was good to bring into the place.,positive,positive,True,dynasent_r1
I'm glad to be able to fill in bioidentical prescriptions and I'm not going to use the ones that come from neglected animals.,neutral,neutral,True,dynasent_r2
Imagine if you will a Tony Hawk skating video interspliced with footage from Behind Enemy Lines and set to Jersey shore techno .,negative,negative,True,sst_local
It isn't a huge patio area so I can see how it might be difficult to get a seat during dinner or perhaps lunch.,negative,negative,True,dynasent_r1
So I was slightly impressed.,positive,positive,True,dynasent_r1
Huge fan of Korean BBQ.,positive,positive,True,dynasent_r1
But an unwillingness to explore beyond the surfaces of her characters prevents Nettelbeck 's film from coming together .,negative,negative,True,sst_local
"If you 're not into the Pokemon franchise , this fourth animated movie in four years wo n't convert you -- or even keep your eyes open .",negative,negative,True,sst_local
We traveled home and the pizza smelled delightful.,positive,positive,True,dynasent_r1
"Too bad it's not socially acceptable to lick your plates clean, otherwise I would've given back one spotless serving dish to the waitress.",positive,positive,True,dynasent_r1
"I paid (well my fiancé paid) $100 for a wash, cut, and style.",neutral,neutral,True,dynasent_r1
A bravura exercise in emptiness .,negative,positive,False,sst_local
"Yes, this is where I am starting.",neutral,neutral,True,dynasent_r1
There is no shade and you're sweating from.,negative,negative,True,dynasent_r1
"If you are looking for a date night where you just relax, I wouldn't necessarily say this is your place.",positive,negative,False,dynasent_r1
I spent a long time trying to decide what kind of flooring to purchase to replace our old carpet.,neutral,neutral,True,dynasent_r1
Lucky for them there is not another sushi place in the area or they would be out of business.,negative,positive,False,dynasent_r1
"I come here once in a while to discuss business or study, and it's generally pleasant.",positive,positive,True,dynasent_r1
"Vegas is one of those places that if you wanted to have a $5.99 Steak and Eggs Breakfast, you totally can do that.",positive,positive,True,dynasent_r1
"By the end of No Such Thing the audience , like Beatrice , has a watchful affection for the monster .",positive,positive,True,sst_local
Notorious C.H.O. has oodles of vulgar highlights .,negative,neutral,False,sst_local
CRACKHEADS!,negative,negative,True,dynasent_r1
"Unfortunately , they 're sandwiched in between the most impossibly dry account of Kahlo 's life imaginable .",negative,negative,True,sst_local
"Anytime we had concerns or questions, we always got a call back within 24 hrs. That was too long to wait.",negative,negative,True,dynasent_r2
Only one negative comment: the pita is chewy sometimes.,negative,negative,True,dynasent_r1
An amazing and incendiary movie that dives straight into the rough waters of contradiction .,positive,positive,True,sst_local
Long busy lineups.,negative,negative,True,dynasent_r1
"All in all , there 's only one thing to root for : expulsion for everyone .",negative,negative,True,sst_local
"Purely propaganda , a work of unabashed hero worship , it is nonetheless -- and likely inadvertently -- a timely and invaluable implicit reminder of the role that U.S. foreign policy has played in the rise of Castro .",neutral,positive,False,sst_local
Thomas in the front (maybe bellman and taxi?),neutral,neutral,True,dynasent_r1
"Shot perhaps ` artistically ' with handheld cameras and apparently no movie lights by Joaquin Baca-Asay , the low-budget production swings annoyingly between vertigo and opacity .",negative,negative,True,sst_local
So she did.,neutral,neutral,True,dynasent_r1
"The bill for all of this food, soda and hot tea was less than $20 so I gave Russell a generous tip since I think he gave us about double the food we were actually charged for.",positive,positive,True,dynasent_r1
mist sprayed on.,neutral,neutral,True,dynasent_r1
"We had put the do not disturb light on our room, but at around 1pm, they had called to see if we needed anything : bottled water, extra towels?",negative,positive,False,dynasent_r1
We made reservations at 5 and didn't get out until 7:30!,neutral,negative,False,dynasent_r1
I felt the need to provide the property with some good feedback since this place was given one star which is not true.,positive,positive,True,dynasent_r1
"One positive note is that the actual therapist did seem very sweet, smiled a lot/offered water.",positive,positive,True,dynasent_r1
"I kept in contact, and it is now Monday.",neutral,neutral,True,dynasent_r1
"We grabbed cocktails at the bar, which they were excellent ""pours"", we then waited a little longer.",positive,positive,True,dynasent_r1
Cheap drinks.,positive,positive,True,dynasent_r1
"Hungry in Saturday night, saw this new place on Yelp so I decided to drive out and try it out.",neutral,neutral,True,dynasent_r1
I decided to try BounceU because i had friends that enjoy their open play.,positive,neutral,False,dynasent_r1
"We will not do business here again, because online customers are more important than repeat customers that actually desire to do an in-person purchase...",negative,negative,True,dynasent_r1
I printed the ad and drove across phoenix to test drive and purchase the car from this dealer.,neutral,neutral,True,dynasent_r1
I hear the pizzas are good.,positive,positive,True,dynasent_r1
We felt like we were invisible.,negative,negative,True,dynasent_r1
"My hair was super dry, careless cut can be told next day.",negative,negative,True,dynasent_r1
I get my pedicure & nails done every 10 days.,neutral,neutral,True,dynasent_r1
"That is, you're not going to find maple syrup, bacon and game meat in every menu description.",positive,neutral,False,dynasent_r1
NICE CUSTOMER SERVICE.,positive,positive,True,dynasent_r1
"Yes, the free air check/refill thing is nice and it worked out well when the hot and cold tire pressure stuff starts.",positive,positive,True,dynasent_r1
"This cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends .",positive,positive,True,sst_local
Sometimes smart but more often sophomoric .,neutral,neutral,True,sst_local
First time was within two weeks of purchase.,neutral,neutral,True,dynasent_r1
Chuck's Speed Shop did my block work @ $680.00.,neutral,neutral,True,dynasent_r1
"Eventually , it wins you over .",positive,positive,True,sst_local
"It is risky , intelligent , romantic and rapturous from start to finish .",positive,positive,True,sst_local
Nice stop when on the North Shore!,positive,positive,True,dynasent_r1
"Just when the movie seems confident enough to handle subtlety , it dives into soapy bathos .",negative,negative,True,sst_local
I called our home warranty and they said it could be as late as Thursday before anyone could come out.,negative,negative,True,dynasent_r1
The only thing I regret the most is not having the money to tip her $5000 because I would do it in an instant!!!,positive,positive,True,dynasent_r1
"Called to ask if i could exchange it , they said sure and would send another one over.",positive,positive,True,dynasent_r1
Only $3 for domestic and $3.50 for imports.,positive,positive,True,dynasent_r1
I wish I could learn how to make the guacamole that the salmon entrée got served with.,positive,positive,True,dynasent_r2
"Tere se tomo su tiempo, y me arreglo muy bien las capaz de mi pelo y ahora puedo peinarme como normalmente lo hago.",neutral,neutral,True,dynasent_r1
I don't think I've had that good of sandwich before.,positive,positive,True,dynasent_r1
Went into this restaurant with my friends for summerlicious.,neutral,neutral,True,dynasent_r1
Disturbingly superficial in its approach to the material .,negative,negative,True,sst_local
Toooo much food!,negative,negative,True,dynasent_r1
So the guys told me they steep the fresh brews for 7min.,neutral,neutral,True,dynasent_r1
Which is usually a day or two ago.,neutral,neutral,True,dynasent_r1
There is n't a weak or careless performance amongst them .,positive,positive,True,sst_local
I never complain to the staff.,positive,positive,True,dynasent_r1
"A grim , flat and boring werewolf movie that refuses to develop an energy level .",negative,negative,True,sst_local
"The rest of the plot is impossible to explain without blowing whatever tension there is , although it 's more comedy than suspense De Palma creates .",neutral,negative,False,sst_local
We spent over 2 hours at the mall. It was horrible.,negative,negative,True,dynasent_r2
"There are a few laughs and clever sight gags scattered about , but not enough to make this anything more than another big-budget bust .",negative,negative,True,sst_local
If our bill had been 30% higher I still would have considered it a bargain.,positive,positive,True,dynasent_r1
"While Undercover Brother is definitely one for the masses , it 's also full of sharp , smart satire .",positive,positive,True,sst_local
Pictures attached.,neutral,neutral,True,dynasent_r1
"She made mine finally, at this point I had waited over 15 minutes.",negative,negative,True,dynasent_r1
Get with the times!!,negative,negative,True,dynasent_r1
Pizza was $7.75 each and the Emiliana salad was $7.50.,positive,neutral,False,dynasent_r1
"Try the Dark Knight, it's my personal favorite",positive,positive,True,dynasent_r1
"If there 's a way to effectively teach kids about the dangers of drugs , I think it 's in projects like the -LRB- unfortunately R-rated -RRB- Paid .",positive,neutral,False,sst_local
"Even if you feel like you 've seen this movie a thousand times before , it is kind of enjoyable thanks mainly to Belushi 's easy-going likableness .",neutral,positive,False,sst_local
"I might've been able to grow out and two-tone the goatee, but since I'm bald, I'd never be able to pull off the spiky-haired thing.",neutral,neutral,True,dynasent_r1
People say she's a great friend to everyone but they don't know her true nature.,negative,neutral,False,dynasent_r2
They should find john and bring him back if they want to succeed!,negative,neutral,False,dynasent_r1
"There is an almost poignant dimension to the way that every major stunt Seagal 's character ... performs is shot from behind , as if it could fool us into thinking that we 're not watching a double .",neutral,neutral,True,sst_local
"Biggie and Tupac is so single-mindedly daring , it puts far more polished documentaries to shame .",positive,positive,True,sst_local
There is nothing Mexican about melting cheddar yellow cheese with sausage and calling it queso fundido with chorizo!,negative,negative,True,dynasent_r1
... always remains movingly genuine .,positive,positive,True,sst_local
The girl who was originally preparing my food resumed and completed making the order.,neutral,neutral,True,dynasent_r1
"This is one of the most visually stunning and thematically moving epics in recent memory , and in spite of numerous minor flaws , Scorsese 's best in more than a decade .",positive,positive,True,sst_local
There is minimal shade so I recommend hats and sunscreen.,negative,negative,True,dynasent_r1
"Good for a few unintentional laughs , `` Extreme Ops '' was obviously made for the `` XXX '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",negative,negative,True,sst_local
It 's one of the most honest films ever made about Hollywood .,positive,positive,True,sst_local
Dexter just graduated from puppy school today.,neutral,neutral,True,dynasent_r1
This is junk food cinema at its greasiest .,negative,negative,True,sst_local
"Previously, I'd had folks tell me I needed a whole new muffler system, and I'm not rich, so the 1200 to 1500 they were quoting me was just too much.",negative,negative,True,dynasent_r1
Any business that is local and community based gets an immediate 1 star bonus.,positive,positive,True,dynasent_r1
"*******Wish it had a small area with tables to sit and eat, (like some other locations)",negative,negative,True,dynasent_r1
There 's plenty of style in Guillermo Del Toro 's sequel to the 1998 hit but why do we need 117 minutes to tell a tale that simply ca n't sustain more than 90 minutes .,negative,negative,True,sst_local
(All of my buns are potty trained.),neutral,neutral,True,dynasent_r1
I went to this dental office yesterday on a Groupon that included exam x-rays cleaning and evaluation.,neutral,neutral,True,dynasent_r1
And so are my gauges!,neutral,neutral,True,dynasent_r1
I was on my 22nd floor and I could hear music alllll night from chayo at the linq.,negative,negative,True,dynasent_r1
The restaurant has food available.,neutral,neutral,True,dynasent_r2
-LRB- Broomfield -RRB- uncovers a story powerful enough to leave the screen sizzling with intrigue .,positive,positive,True,sst_local
"The angst-ridden , affluent slacker characters are more grating than engaging .",negative,negative,True,sst_local
"All the characters are stereotypes , and their interaction is numbingly predictable .",negative,negative,True,sst_local
Jagger the actor is someone you want to see again .,positive,positive,True,sst_local
"They actually took our order, and it came out 20 minutes later.",neutral,neutral,True,dynasent_r2
I ordered the steak salad and my partner ordered the chicken tacos.,neutral,neutral,True,dynasent_r1
"Again, could not have had a p.u.",neutral,neutral,True,dynasent_r2
The film often achieves a mesmerizing poetry .,positive,positive,True,sst_local
I think he gave me my 80yr old father in law's same denture as Dr Gerard did his as well?,neutral,neutral,True,dynasent_r1
"Same quality staff, same quality beers, same quality food, and all in a perfect location at the Homestead Waterfront.",positive,positive,True,dynasent_r1
We worked it out that I would pick it up at 7:30am.,neutral,neutral,True,dynasent_r1
Please take my word and reach out to her if your hair needs some love!!!,positive,positive,True,dynasent_r1
Director Clare Kilner 's debut is never as daft as it should have been .,neutral,neutral,True,sst_local
Service was fantastic.,positive,positive,True,dynasent_r2
only negative thing I can think of is they don't serve bacon at all.,negative,negative,True,dynasent_r1
Superior places for breakfast within walking distance of this place.,negative,positive,False,dynasent_r1
Waaaaay better service....and food!!,positive,positive,True,dynasent_r1
Same with the veg sandwich options.,neutral,neutral,True,dynasent_r1
booo burger king !,negative,negative,True,dynasent_r1
"Despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it .",positive,positive,True,sst_local
"All that -LRB- Powerpuff Girls -RRB- charm is present in the movie , but it 's spread too thin .",negative,negative,True,sst_local
"With its hints of a greater intelligence lurking somewhere , The Ring makes its stupidity more than obvious .",negative,negative,True,sst_local
"The film 's real appeal wo n't be to Clooney fans or adventure buffs , but to moviegoers who enjoy thinking about compelling questions with no easy answers .",positive,positive,True,sst_local
This is the second time coming to this establishment.,neutral,neutral,True,dynasent_r1
Figured we would take advantage of the happy hour drinks and grab some food.,positive,neutral,False,dynasent_r1
"The writers , director Wally Wolodarsky , and all the actors should start their own coeducational fraternity : Kappa Rho Alpha Phi .",negative,positive,False,sst_local
outrageous!!,negative,negative,True,dynasent_r1
"602-738-6604
www.pillartopost.com",neutral,neutral,True,dynasent_r1
"If the other menu items are prepared with as much attention as the burgers, nothing will be disappointing.",positive,positive,True,dynasent_r1
I'm only extra patient because I worked as a server but even I have limits and this place really tested me.,negative,negative,True,dynasent_r1
An Afterschool Special without the courage of its convictions .,negative,negative,True,sst_local
BOMB AF!,positive,positive,True,dynasent_r1
The sequel has turned completely and irrevocably bizarre to the point of utter nonsense .,negative,negative,True,sst_local
"The film is faithful to what one presumes are the book 's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .",positive,neutral,False,sst_local
Lee Jeong-Hyang tells it so lovingly and films it so beautifully that I could n't help being captivated by it .,positive,positive,True,sst_local
I was somewhat disappointed in the presentation of the dinning experience. not organized in my opinion,negative,negative,True,dynasent_r2
The seating can be challenging as it is limited.,negative,negative,True,dynasent_r1
"An exciting and involving rock music doc , a smart and satisfying look inside that tumultuous world .",positive,positive,True,sst_local
Go to Franks or go to Olgas on Baseline in this area.,positive,neutral,False,dynasent_r1
"The essential problem in Orange County is that , having created an unusually vivid set of characters worthy of its strong cast , the film flounders when it comes to giving them something to do .",negative,negative,True,sst_local
Too close to Phantom Menace for comfort .,negative,negative,True,sst_local
